,Graduated,Grad Major,major_code,Sttr Term
0,N,left BSC,0,519
1,Y,Accounting,1,51
2,Y,Arts,2,33
3,Y,Biology,3,116
4,Y,Business Administration,4,176
5,Y,Chemistry,5,32
6,Y,Computing,6,16
7,Y,Economics,7,14
8,Y,Elem/Collaborative Education,8,33
9,Y,English,9,21
10,Y,Global and Comparative Studies,10,8
11,Y,Health Sciences,11,40
12,Y,History,12,43
13,Y,Humanities,13,10
14,Y,Independent Study,14,10
15,Y,Mathematics,15,51
16,Y,Media and Film Studies,16,26
17,Y,Music,17,10
18,Y,Physics,18,23
19,Y,Political Science,19,29
20,Y,Psychology,20,81
21,Y,Religion,21,21
22,Y,Sociology,22,14
23,Y,Spanish,23,3
24,Y,Theatre Arts,24,10
25,Y,Urban Environmental Studies,25,20
26,Y,unknown,26,32
